FID	IID	Phenotype_1
HG00096	HG00096	0.3996256420562157
HG00097	HG00097	0.4570262770570168
HG00099	HG00099	0.4938040383786487
HG00100	HG00100	0.46949128918965033
HG00101	HG00101	0.39735375661771727
HG00102	HG00102	0.34624486810579813
HG00103	HG00103	0.4965846790398159
HG00105	HG00105	0.45114107363909106
HG00106	HG00106	0.48127170726204094
HG00107	HG00107	0.43194186133106294
HG00108	HG00108	0.5160476648905384
HG00109	HG00109	0.4569441838243012
HG00110	HG00110	0.46763565485515923
HG00111	HG00111	0.47849384744510276
HG00112	HG00112	0.4944349534273654
HG00113	HG00113	0.4190291471547244
HG00114	HG00114	0.4904248131321325
HG00115	HG00115	0.3279927613564616
HG00116	HG00116	0.33459747144047397
HG00117	HG00117	0.3837129903805401
HG00118	HG00118	0.3664434768210974
HG00119	HG00119	0.501281532219246
HG00120	HG00120	0.39354587574603184
HG00121	HG00121	0.28481329531037675
HG00122	HG00122	0.3968920180822468
HG00123	HG00123	0.4055253831151923
HG00125	HG00125	0.39246085473306636
HG00126	HG00126	0.5280872839422874
HG00127	HG00127	0.33169473506634173
HG00128	HG00128	0.5548638686806121
HG00129	HG00129	0.4320204018293672
HG00130	HG00130	0.3659287161727188
HG00131	HG00131	0.4320583463643345
HG00132	HG00132	0.519724056896712
HG00133	HG00133	0.43223205433720296
HG00136	HG00136	0.4905134889749245
HG00137	HG00137	0.53732408076796
HG00138	HG00138	0.5161997937912383
HG00139	HG00139	0.40679365544909935
HG00140	HG00140	0.42610965338747664
HG00141	HG00141	0.5274522449505504
HG00142	HG00142	0.3885104161216268
HG00143	HG00143	0.4989403649668976
HG00145	HG00145	0.44276241386891746
HG00146	HG00146	0.37067659143280607
HG00148	HG00148	0.4607709417884127
HG00149	HG00149	0.4311083993090081
HG00150	HG00150	0.4502432026471928
HG00151	HG00151	0.5011664740384468
HG00154	HG00154	0.4935987398431497
HG00155	HG00155	0.46243239604850844
HG00157	HG00157	0.5190006539470807
HG00158	HG00158	0.3478656428517226
HG00159	HG00159	0.43292109938190526
HG00160	HG00160	0.4352333500042649
HG00171	HG00171	0.5378383993041075
HG00173	HG00173	0.47956973109354956
HG00174	HG00174	0.4931315687329007
HG00176	HG00176	0.3776878337763918
HG00177	HG00177	0.44587106489438944
HG00178	HG00178	0.4515364693276974
HG00179	HG00179	0.48110520222576036
HG00180	HG00180	0.4778809150184614
HG00181	HG00181	0.4405119572648646
HG00182	HG00182	0.7112358165657054
HG00183	HG00183	0.3988219939198426
HG00185	HG00185	0.3714532326025369
HG00186	HG00186	0.35705133361189234
HG00187	HG00187	0.5011732284477911
HG00188	HG00188	0.35069034206408134
HG00189	HG00189	0.3833601934969489
HG00190	HG00190	0.35171148803087315
HG00231	HG00231	0.5492688407044001
HG00232	HG00232	0.5757922556501341
HG00233	HG00233	0.2977401047981152
HG00234	HG00234	0.2777546682873649
HG00235	HG00235	0.3751516153520944
HG00236	HG00236	0.4054337273019475
HG00237	HG00237	0.4375650648680575
HG00238	HG00238	0.48141717075036544
HG00239	HG00239	0.4056630165073331
HG00240	HG00240	0.3566930827862034
HG00242	HG00242	0.4654660969253674
HG00243	HG00243	0.4272745175986297
HG00244	HG00244	0.3146083163966034
HG00245	HG00245	0.44424359426313803
HG00246	HG00246	0.43212466913699904
HG00250	HG00250	0.5066205104527666
HG00251	HG00251	0.3368943936413381
HG00252	HG00252	0.5077775464060142
HG00253	HG00253	0.4105797369069905
HG00254	HG00254	0.4744142739914512
HG00255	HG00255	0.33808817869638685
HG00256	HG00256	0.4123182172143185
HG00257	HG00257	0.39749694262736296
HG00258	HG00258	0.5281123732007851
HG00259	HG00259	0.4360516457189821
HG00260	HG00260	0.25744747676367163
HG00261	HG00261	0.1625569758823281
HG00262	HG00262	0.38725052876309307
HG00263	HG00263	0.3741902394981454
HG00264	HG00264	0.3513441492679138
HG00265	HG00265	0.3898924276230787
HG00266	HG00266	0.3456731415383303
HG00267	HG00267	0.2518145040726597
HG00268	HG00268	0.394039920955673
HG00269	HG00269	0.520974103575036
HG00271	HG00271	0.5126845461847519
HG00272	HG00272	0.5534501099573397
HG00273	HG00273	0.4736010863188949
HG00274	HG00274	0.3816298703036609
HG00275	HG00275	0.34518244590652436
HG00276	HG00276	0.3926841663051233
HG00277	HG00277	0.619101049675926
HG00278	HG00278	0.4963386312829841
HG00280	HG00280	0.39890029214748735
HG00281	HG00281	0.4816468096652731
HG00282	HG00282	0.5471281875505929
HG00284	HG00284	0.30249411192593156
HG00285	HG00285	0.42220103701206807
HG00288	HG00288	0.44365705156067636
HG00290	HG00290	0.41366793020502457
HG00304	HG00304	0.3789080896797674
HG00306	HG00306	0.35568337431812896
HG00308	HG00308	0.4482621622889705
HG00309	HG00309	0.3102834134729421
HG00310	HG00310	0.4833971324238156
HG00311	HG00311	0.5540537028382768
HG00313	HG00313	0.48550244148824373
HG00315	HG00315	0.4856895233871371
HG00318	HG00318	0.35668935154633963
HG00319	HG00319	0.30437569685971894
HG00320	HG00320	0.48059731960914737
HG00321	HG00321	0.3895541169418707
HG00323	HG00323	0.5109460111775496
HG00324	HG00324	0.47816741211634056
HG00325	HG00325	0.4296358088483441
HG00326	HG00326	0.38481000729376313
HG00327	HG00327	0.42862956278698994
HG00328	HG00328	0.34911046503356785
HG00329	HG00329	0.3774132644125371
HG00330	HG00330	0.4409358399220884
HG00331	HG00331	0.4692703139126646
HG00332	HG00332	0.3958004461394959
HG00334	HG00334	0.26971912073157084
HG00335	HG00335	0.28111683454183545
HG00336	HG00336	0.42670754753278184
HG00337	HG00337	0.4616687190217812
HG00338	HG00338	0.3175221034467868
HG00339	HG00339	0.2645584353937017
HG00341	HG00341	0.4525452762750993
HG00342	HG00342	0.43670835272319836
HG00343	HG00343	0.505680066578688
HG00344	HG00344	0.44286540070589864
HG00345	HG00345	0.4284773338794858
HG00346	HG00346	0.3630802174312499
HG00349	HG00349	0.5420805047954035
HG00350	HG00350	0.4321664900507474
HG00351	HG00351	0.37953681997729627
HG00353	HG00353	0.4720176055840786
HG00355	HG00355	0.45872056223449437
HG00356	HG00356	0.4555336746752091
HG00357	HG00357	0.43321198319970156
HG00358	HG00358	0.5968983877229109
HG00360	HG00360	0.21966104030780015
HG00361	HG00361	0.32086119786973055
HG00362	HG00362	0.43586609791626807
HG00364	HG00364	0.3581255411388635
HG00365	HG00365	0.2951310161820309
HG00366	HG00366	0.34853418641156503
HG00367	HG00367	0.48748442744534787
HG00368	HG00368	0.4069716996720149
HG00369	HG00369	0.4591665678284051
HG00371	HG00371	0.3778506125295588
HG00372	HG00372	0.5451023445211054
HG00373	HG00373	0.47678091137496015
HG00375	HG00375	0.4641652445752097
HG00376	HG00376	0.40281362909565177
HG00378	HG00378	0.31985040913091023
HG00379	HG00379	0.47626433337233265
HG00380	HG00380	0.4236369420672863
HG00381	HG00381	0.41717471534783684
HG00382	HG00382	0.4347495171755616
HG00383	HG00383	0.42384294979267045
HG00384	HG00384	0.5768786005175145
HG00403	HG00403	0.5332852609218085
HG00404	HG00404	0.3465154233475234
HG00406	HG00406	0.456332866945738
HG00407	HG00407	0.6012313848732629
HG00409	HG00409	0.39996619243484854
HG00410	HG00410	0.3473992709508349
HG00419	HG00419	0.1978684284913505
HG00421	HG00421	0.2825150410342415
HG00422	HG00422	0.24262030253328543
HG00428	HG00428	0.20375385001937107
HG00436	HG00436	0.23990171882010505
HG00437	HG00437	0.29306571000200937
HG00442	HG00442	0.2824633283129163
HG00443	HG00443	0.34701977751242924
HG00445	HG00445	0.29336284773087357
HG00446	HG00446	0.34405146526714037
HG00448	HG00448	0.27814716004060286
HG00449	HG00449	0.2639836968358552
HG00451	HG00451	0.2879632150449513
HG00452	HG00452	0.18110892159912229
HG00457	HG00457	0.580781448540775
HG00458	HG00458	0.5027197537663614
HG00463	HG00463	0.4473230941184287
HG00464	HG00464	0.2831855783287263
HG00472	HG00472	0.36591845513027466
HG00473	HG00473	0.672278483875082
HG00475	HG00475	0.33522738665996077
HG00476	HG00476	0.20494253085256608
HG00478	HG00478	0.24366769926921672
HG00479	HG00479	0.22935301959259738
HG00500	HG00500	0.399874370938593
HG00513	HG00513	0.39790000408743054
HG00524	HG00524	0.3219949256608184
HG00525	HG00525	0.20387444255622303
HG00530	HG00530	0.31171734709499943
HG00531	HG00531	0.44956869679746203
HG00533	HG00533	0.30576366042543585
HG00534	HG00534	0.5452467315397286
HG00536	HG00536	0.28273824325697205
HG00537	HG00537	0.5439089543673241
HG00542	HG00542	0.2717199112281241
HG00543	HG00543	0.20826755363002641
HG00551	HG00551	0.26541101363283354
HG00553	HG00553	0.3135081970322984
HG00554	HG00554	0.4831663786072513
HG00556	HG00556	0.2190856737291126
HG00557	HG00557	0.4194549065812078
HG00559	HG00559	0.4127691974213155
HG00560	HG00560	0.311002768656072
HG00565	HG00565	0.4052391872999948
HG00566	HG00566	0.23148673100321612
HG00580	HG00580	0.35814721344042233
HG00581	HG00581	0.41802711016315414
HG00583	HG00583	0.4048656803880634
HG00584	HG00584	0.3409923001208791
HG00589	HG00589	0.2558282279407557
HG00590	HG00590	0.3568411056403683
HG00592	HG00592	0.34147371571232876
HG00593	HG00593	0.36405542546188563
HG00595	HG00595	0.4878242049149622
HG00596	HG00596	0.25226113060882066
HG00598	HG00598	0.5254404653726279
HG00599	HG00599	0.27276948392431805
HG00607	HG00607	0.43132506025133804
HG00608	HG00608	0.3188867004392921
HG00610	HG00610	0.4385745653976979
HG00611	HG00611	0.23715473353587027
HG00613	HG00613	0.6501569473393389
HG00614	HG00614	0.24789469052858926
HG00619	HG00619	0.2540011935844457
HG00620	HG00620	0.4259123627837561
HG00622	HG00622	0.4728731896732621
HG00623	HG00623	0.26900113154549204
HG00625	HG00625	0.43877946448068755
HG00626	HG00626	0.4912982763448023
HG00628	HG00628	0.24456300177786433
HG00629	HG00629	0.28584902038021565
HG00631	HG00631	0.22396059426156528
HG00632	HG00632	0.3941923910739441
HG00634	HG00634	0.2457159066041151
HG00637	HG00637	0.5449329160481964
HG00638	HG00638	0.38246028065900867
HG00640	HG00640	0.4814823186680172
HG00641	HG00641	0.4623351329745049
HG00650	HG00650	0.3516516620180821
HG00651	HG00651	0.33711069466550114
HG00653	HG00653	0.3886126229586364
HG00654	HG00654	0.24316643992311351
HG00656	HG00656	0.1437800859991633
HG00657	HG00657	0.434252931275318
HG00662	HG00662	0.3478674335550439
HG00663	HG00663	0.402566389620825
HG00671	HG00671	0.48988590393003273
HG00672	HG00672	0.2687729358616493
HG00674	HG00674	0.47423780879153116
HG00675	HG00675	0.31895368037989247
HG00683	HG00683	0.38397799807677685
HG00684	HG00684	0.6367404812209727
HG00689	HG00689	0.5302375200699058
HG00690	HG00690	0.43646430138677356
HG00692	HG00692	0.34419000148047424
HG00693	HG00693	0.3466501761876304
HG00698	HG00698	0.20542189652428713
HG00699	HG00699	0.42828078047223817
HG00701	HG00701	0.2340747588163011
HG00704	HG00704	0.6375139187712768
HG00705	HG00705	0.4372084118953896
HG00707	HG00707	0.5637530351081755
HG00708	HG00708	0.33244319419048024
HG00717	HG00717	0.3224688943276975
HG00728	HG00728	0.16562688748232776
HG00729	HG00729	0.3858376183432365
HG00731	HG00731	0.34624739605440896
HG00732	HG00732	0.46855381768943344
HG00734	HG00734	0.4081399448437192
HG00736	HG00736	0.4511290814188816
HG00737	HG00737	0.4718400345613584
HG00739	HG00739	0.4074796860819606
HG00740	HG00740	0.3670820292405917
HG00742	HG00742	0.33944638736763916
HG00743	HG00743	0.4505647480514956
HG00759	HG00759	0.3034201774617254
HG00766	HG00766	0.38587959736671806
HG00844	HG00844	0.41450609487330503
HG00851	HG00851	0.19938107639996921
HG00864	HG00864	0.35891070070037334
HG00867	HG00867	0.3549963437776062
HG00879	HG00879	0.37602458471033473
HG00881	HG00881	0.4252173961157251
HG00956	HG00956	0.30879208557547705
HG00978	HG00978	0.3778019972894014
HG00982	HG00982	0.2503942689747819
