FID	IID	Phenotype_1
HG00096	HG00096	0.47519118872249105
HG00097	HG00097	0.5597783083111019
HG00099	HG00099	0.24550581446444225
HG00100	HG00100	0.5529316162293412
HG00101	HG00101	0.370956430090953
HG00102	HG00102	0.4207997252687683
HG00103	HG00103	0.29375029816013815
HG00105	HG00105	0.5013264931660321
HG00106	HG00106	0.5335476441999771
HG00107	HG00107	0.3170481237623917
HG00108	HG00108	0.36935817762515705
HG00109	HG00109	0.43957518266073314
HG00110	HG00110	0.32254414210780374
HG00111	HG00111	0.37846347881308856
HG00112	HG00112	0.499105571991447
HG00113	HG00113	0.38430912262989636
HG00114	HG00114	0.504113056616529
HG00115	HG00115	0.49947467084803654
HG00116	HG00116	0.4163415843655255
HG00117	HG00117	0.4312705866255857
HG00118	HG00118	0.33769158795814613
HG00119	HG00119	0.4701668758363684
HG00120	HG00120	0.4584444089093107
HG00121	HG00121	0.6245530685206362
HG00122	HG00122	0.35686736621335147
HG00123	HG00123	0.57193044195742
HG00125	HG00125	0.4478589956773138
HG00126	HG00126	0.33052403769973604
HG00127	HG00127	0.3710085627785849
HG00128	HG00128	0.4850588808248216
HG00129	HG00129	0.42216976901932
HG00130	HG00130	0.41813347833295206
HG00131	HG00131	0.32321872838711524
HG00132	HG00132	0.3406760046300377
HG00133	HG00133	0.47400720723756146
HG00136	HG00136	0.559026030979339
HG00137	HG00137	0.44033141173600954
HG00138	HG00138	0.46146573442481276
HG00139	HG00139	0.34122661651316183
HG00140	HG00140	0.6429795061057877
HG00141	HG00141	0.3525877294940543
HG00142	HG00142	0.4219360649844263
HG00143	HG00143	0.5278789309991245
HG00145	HG00145	0.41100717835947653
HG00146	HG00146	0.25964777464603134
HG00148	HG00148	0.4139970327441393
HG00149	HG00149	0.2721761142614573
HG00150	HG00150	0.4170457678275342
HG00151	HG00151	0.4603622749127988
HG00154	HG00154	0.2815733736757683
HG00155	HG00155	0.5976843324265322
HG00157	HG00157	0.3465691058018297
HG00158	HG00158	0.4085840633504061
HG00159	HG00159	0.36662047947108184
HG00160	HG00160	0.3184555020972614
HG00171	HG00171	0.6234395284060584
HG00173	HG00173	0.4555142391719295
HG00174	HG00174	0.22762310590766713
HG00176	HG00176	0.3679459998870478
HG00177	HG00177	0.22428034502783842
HG00178	HG00178	0.3706924924655039
HG00179	HG00179	0.39571284993981226
HG00180	HG00180	0.4731441273993421
HG00181	HG00181	0.39835848630061743
HG00182	HG00182	0.6065247181296358
HG00183	HG00183	0.4742987813615653
HG00185	HG00185	0.45893159174000636
HG00186	HG00186	0.5758327173996926
HG00187	HG00187	0.380814129223132
HG00188	HG00188	0.5593010857048196
HG00189	HG00189	0.3016418677317093
HG00190	HG00190	0.4468170124379602
HG00231	HG00231	0.3817049155343202
HG00232	HG00232	0.3701360798892823
HG00233	HG00233	0.5185008384209794
HG00234	HG00234	0.38572828531169734
HG00235	HG00235	0.4150292030332814
HG00236	HG00236	0.4881104569915465
HG00237	HG00237	0.5662751971680312
HG00238	HG00238	0.3329867890655205
HG00239	HG00239	0.28131152748679655
HG00240	HG00240	0.4158900664983535
HG00242	HG00242	0.3819573862549685
HG00243	HG00243	0.37006424119881626
HG00244	HG00244	0.4698541070077206
HG00245	HG00245	0.28929839241948396
HG00246	HG00246	0.42166946354143303
HG00250	HG00250	0.3117652003230736
HG00251	HG00251	0.2728645640954377
HG00252	HG00252	0.49847552785066374
HG00253	HG00253	0.45457923182895404
HG00254	HG00254	0.44263218858727743
HG00255	HG00255	0.3586468350650824
HG00256	HG00256	0.40200777792320735
HG00257	HG00257	0.44170800342208505
HG00258	HG00258	0.48952741548197387
HG00259	HG00259	0.3208508328818123
HG00260	HG00260	0.4820171001162339
HG00261	HG00261	0.38158638388265637
HG00262	HG00262	0.30939760555583695
HG00263	HG00263	0.570583967804334
HG00264	HG00264	0.6522701832800722
HG00265	HG00265	0.43218345825938337
HG00266	HG00266	0.48870602844425176
HG00267	HG00267	0.36538381895733896
