FID	IID	Phenotype_1
HG00096	HG00096	0.5588448352204678
HG00097	HG00097	0.6290264918993782
HG00099	HG00099	0.14852894326624985
HG00100	HG00100	0.710634593219199
HG00101	HG00101	0.38327597047396833
HG00102	HG00102	0.5967484826941272
HG00103	HG00103	0.35365360278429747
HG00105	HG00105	0.5135110005678059
HG00106	HG00106	0.7903907508623688
HG00107	HG00107	0.3530663527680523
HG00108	HG00108	0.2874435418133724
HG00109	HG00109	0.465535341453994
HG00110	HG00110	0.27569309208391496
HG00111	HG00111	0.4167290346150165
HG00112	HG00112	0.5632098181703487
HG00113	HG00113	0.2738146444801563
HG00114	HG00114	0.5045429831525089
HG00115	HG00115	0.4967302714014391
HG00116	HG00116	0.4597209118442312
HG00117	HG00117	0.4749520362976559
HG00118	HG00118	0.26742491831471477
HG00119	HG00119	0.42392237170244984
HG00120	HG00120	0.6601556844498706
HG00121	HG00121	0.8369257856941448
HG00122	HG00122	0.42924228976048334
HG00123	HG00123	0.6785929592099965
HG00125	HG00125	0.31474251778341816
HG00126	HG00126	0.29714082465239267
HG00127	HG00127	0.32660144497348254
HG00128	HG00128	0.5728694480420138
HG00129	HG00129	0.3763972772875942
HG00130	HG00130	0.5361706584994241
HG00131	HG00131	0.20407321763861835
HG00132	HG00132	0.28611334417978773
HG00133	HG00133	0.4303908725481341
HG00136	HG00136	0.7265546605304712
HG00137	HG00137	0.39711172768309766
HG00138	HG00138	0.44071625192173347
HG00139	HG00139	0.23746373004909357
HG00140	HG00140	0.8346432257814205
HG00141	HG00141	0.2955741290386709
HG00142	HG00142	0.6429961412464485
HG00143	HG00143	0.5809513331717494
HG00145	HG00145	0.3242761398588083
HG00146	HG00146	0.20566841173413036
HG00148	HG00148	0.3626314466899699
HG00149	HG00149	0.22417451297180102
HG00150	HG00150	0.42758769483785947
HG00151	HG00151	0.5640651507598553
HG00154	HG00154	0.24259901512474585
HG00155	HG00155	0.6894738905041852
HG00157	HG00157	0.286112031032703
HG00158	HG00158	0.4632415275153195
HG00159	HG00159	0.31615158788234604
HG00160	HG00160	0.3312235643419594
HG00171	HG00171	0.8350501831952012
HG00173	HG00173	0.4325613711764812
HG00174	HG00174	0.17985438678381832
HG00176	HG00176	0.3730130546982549
HG00177	HG00177	0.10712273171075995
HG00178	HG00178	0.32301032395128887
HG00179	HG00179	0.45943205341941523
HG00180	HG00180	0.7023110730304963
HG00181	HG00181	0.4658089599491031
HG00182	HG00182	0.6770410959194596
HG00183	HG00183	0.5240223843929849
HG00185	HG00185	0.4186597014677824
HG00186	HG00186	0.7638430091902894
HG00187	HG00187	0.33746267100875
HG00188	HG00188	0.5949033616919055
HG00189	HG00189	0.3669458474149629
HG00190	HG00190	0.4777331903229071
HG00231	HG00231	0.4013802901060308
HG00232	HG00232	0.2554344938132707
HG00233	HG00233	0.7613123359212304
HG00234	HG00234	0.4445351537998185
HG00235	HG00235	0.457510389139122
HG00236	HG00236	0.49125043702771765
HG00237	HG00237	0.6690674907331485
HG00238	HG00238	0.36930995528372024
HG00239	HG00239	0.2458921480534167
HG00240	HG00240	0.4700258531062917
HG00242	HG00242	0.34504320598770993
HG00243	HG00243	0.33561371621519503
HG00244	HG00244	0.40067908966893245
HG00245	HG00245	0.2556107281923025
HG00246	HG00246	0.36308215374089736
HG00250	HG00250	0.2934529221964572
HG00251	HG00251	0.25605729220408197
HG00252	HG00252	0.6011227909799364
HG00253	HG00253	0.44757355641478075
HG00254	HG00254	0.48056073545066863
HG00255	HG00255	0.3625421802052071
HG00256	HG00256	0.3424372246693834
HG00257	HG00257	0.5135125550021484
HG00258	HG00258	0.5300151656387366
HG00259	HG00259	0.30875639883691597
HG00260	HG00260	0.5037034967588698
HG00261	HG00261	0.33454200911023807
HG00262	HG00262	0.1864483487897662
HG00263	HG00263	0.7460223877437058
HG00264	HG00264	0.7207736150320553
HG00265	HG00265	0.37347294948900617
HG00266	HG00266	0.5203806419417358
HG00267	HG00267	0.3431687765680148
HG00268	HG00268	0.2939723516708458
HG00269	HG00269	0.22266412774242128
HG00271	HG00271	0.1579268072166834
HG00272	HG00272	0.5834837154720398
HG00273	HG00273	0.4867146768509767
HG00274	HG00274	0.6465708800350125
HG00275	HG00275	0.2692155422638991
HG00276	HG00276	0.4306571035202211
HG00277	HG00277	0.2567755862021719
HG00278	HG00278	0.2631671563985884
HG00280	HG00280	0.24223916204618656
HG00281	HG00281	0.21043796963185055
HG00282	HG00282	0.35853316986747213
HG00284	HG00284	0.6128588714045591
HG00285	HG00285	0.6305030405465826
HG00288	HG00288	0.6251901361828621
HG00290	HG00290	0.5563537796544827
HG00304	HG00304	0.7384367698391119
HG00306	HG00306	0.668789340849078
HG00308	HG00308	0.8296687851854571
HG00309	HG00309	0.6161125474099928
HG00310	HG00310	0.4234285515710191
HG00311	HG00311	0.4117651945790605
HG00313	HG00313	0.35412019207455186
HG00315	HG00315	0.8215922075264935
HG00318	HG00318	0.43692399727416126
HG00319	HG00319	0.2804371305525407
HG00320	HG00320	0.42221050188009684
HG00321	HG00321	0.6326272425534885
HG00323	HG00323	0.6347951219834688
HG00324	HG00324	0.7780606307664155
HG00325	HG00325	0.40774896561501073
HG00326	HG00326	0.5300532493612184
HG00327	HG00327	0.3391643664633977
HG00328	HG00328	0.782733836343274
HG00329	HG00329	0.6503855655857884
HG00330	HG00330	0.2482900273873742
HG00331	HG00331	0.34905288528540407
HG00332	HG00332	0.508062395451193
HG00334	HG00334	0.40120201995322563
HG00335	HG00335	0.5720533442197724
HG00336	HG00336	0.2395090106926752
HG00337	HG00337	0.5143886472208327
HG00338	HG00338	0.16832383942168833
HG00339	HG00339	0.3406005896209011
HG00341	HG00341	0.6663152242044523
HG00342	HG00342	0.7919551913372742
HG00343	HG00343	0.4488402108656373
HG00344	HG00344	0.1614961681252312
HG00345	HG00345	0.4761048241464885
HG00346	HG00346	0.1834019570761041
HG00349	HG00349	0.54435511091293
HG00350	HG00350	0.28762491474489926
HG00351	HG00351	0.5025437090122563
HG00353	HG00353	0.3005180822061543
HG00355	HG00355	0.7248720906106623
HG00356	HG00356	0.02562779593600905
HG00357	HG00357	0.6179247851177673
HG00358	HG00358	0.2565725417722252
HG00360	HG00360	0.5041999505793382
HG00361	HG00361	0.49572331035437744
HG00362	HG00362	0.4426427305923989
HG00364	HG00364	0.2545117960435628
HG00365	HG00365	0.15602889823156108
HG00366	HG00366	0.2588335579891985
HG00367	HG00367	0.5875311115860898
HG00368	HG00368	0.4105437062041595
HG00369	HG00369	0.3527811418367102
HG00371	HG00371	0.1354730766852129
HG00372	HG00372	0.3031453580737734
HG00373	HG00373	0.3770444698157555
HG00375	HG00375	0.5353165143927087
HG00376	HG00376	0.2966412203593588
HG00378	HG00378	0.35315251493903504
HG00379	HG00379	0.7130148954600555
HG00380	HG00380	0.4974475209399276
HG00381	HG00381	0.22423457925975837
HG00382	HG00382	0.3285433588383932
HG00383	HG00383	0.5367335849452334
HG00384	HG00384	0.4857942989969776
HG00403	HG00403	0.4849006081299989
HG00404	HG00404	0.22514658849197727
HG00406	HG00406	0.07470620327459605
HG00407	HG00407	0.19960665405710445
HG00409	HG00409	0.3905997016114705
HG00410	HG00410	0.37609181007096026
HG00419	HG00419	0.2806572785746001
HG00421	HG00421	0.6490577292888084
HG00422	HG00422	0.4299246827465609
HG00428	HG00428	0.25063877319865874
HG00436	HG00436	0.1460029412965649
HG00437	HG00437	0.2033164194527612
HG00442	HG00442	0.2992531112126477
HG00443	HG00443	0.3380835520369753
HG00445	HG00445	0.46160778495326205
HG00446	HG00446	0.21206164109657732
HG00448	HG00448	0.4781366324933015
HG00449	HG00449	0.618424059834182
HG00451	HG00451	0.20540370180889173
HG00452	HG00452	0.23390665343353814
HG00457	HG00457	0.6032412272745117
HG00458	HG00458	0.24871980457637183
HG00463	HG00463	0.5668265184554223
HG00464	HG00464	0.4515375392645376
HG00472	HG00472	0.4842029210595183
HG00473	HG00473	0.1942700747049155
HG00475	HG00475	0.482112698574847
HG00476	HG00476	0.4247496853920038
HG00478	HG00478	0.5610594799510643
HG00479	HG00479	0.2976924007688948
HG00500	HG00500	0.1648892638909833
HG00513	HG00513	0.21356683102971347
HG00524	HG00524	0.3221598831720396
HG00525	HG00525	0.32684372790681127
HG00530	HG00530	0.5067671729397681
HG00531	HG00531	0.34902146123204725
HG00533	HG00533	0.2968729373640069
HG00534	HG00534	0.4279592505255209
HG00536	HG00536	0.2322913067131394
HG00537	HG00537	0.3069328235265595
HG00542	HG00542	0.2997003396998055
HG00543	HG00543	0.24770909506909009
HG00551	HG00551	0.556061553283279
HG00553	HG00553	0.3024859861573551
HG00554	HG00554	0.4768938689821128
HG00556	HG00556	0.3488868524965587
HG00557	HG00557	0.3143818126347053
HG00559	HG00559	0.2397134654387335
HG00560	HG00560	0.5852735325260795
HG00565	HG00565	0.26551287324515305
HG00566	HG00566	0.37621591132023047
HG00580	HG00580	0.407031412854448
HG00581	HG00581	0.554816921190751
HG00583	HG00583	0.37493148690342887
HG00584	HG00584	0.33251129575557686
HG00589	HG00589	0.7693112878167134
HG00590	HG00590	0.5079036568117856
HG00592	HG00592	0.19895040638624303
HG00593	HG00593	0.2725011191893498
HG00595	HG00595	0.5566457727263355
HG00596	HG00596	0.49360457499802296
HG00598	HG00598	0.3414487587293542
HG00599	HG00599	0.2621089066947029
HG00607	HG00607	0.19948856124267414
HG00608	HG00608	0.3493764129609516
HG00610	HG00610	0.3050691600729904
HG00611	HG00611	0.32320449579634924
HG00613	HG00613	0.27925162914748936
HG00614	HG00614	0.5028616758166405
HG00619	HG00619	0.324540293683153
HG00620	HG00620	0.5167956035931176
HG00622	HG00622	0.5649368449677822
HG00623	HG00623	0.3591283818699087
HG00625	HG00625	0.6071290813831658
HG00626	HG00626	0.18257933446072785
HG00628	HG00628	0.549690268419662
HG00629	HG00629	0.1799729089750072
HG00631	HG00631	0.3386585666879195
HG00632	HG00632	0.182363022994963
HG00634	HG00634	0.24802749678419594
HG00637	HG00637	0.5967605612844661
HG00638	HG00638	0.2719688238287741
HG00640	HG00640	0.6153670737748527
HG00641	HG00641	0.35003291180889673
HG00650	HG00650	0.5351456167275572
HG00651	HG00651	0.23796091379230883
HG00653	HG00653	0.3722287596646393
HG00654	HG00654	0.351244284173029
HG00656	HG00656	0.3566950710103049
HG00657	HG00657	0.25616053526841237
HG00662	HG00662	0.23110926939201984
HG00663	HG00663	0.22056388276093084
HG00671	HG00671	0.13326618768647117
HG00672	HG00672	0.3985596398914231
HG00674	HG00674	0.17309834080913636
HG00675	HG00675	0.49915514968520247
HG00683	HG00683	0.28233719237571764
HG00684	HG00684	0.3059697955314235
HG00689	HG00689	0.4272312336125148
HG00690	HG00690	0.5524564607679406
HG00692	HG00692	0.7182203249417606
HG00693	HG00693	0.4792177034367222
HG00698	HG00698	0.31707786944261224
HG00699	HG00699	0.3180552491988718
HG00701	HG00701	0.40907194435454425
HG00704	HG00704	0.6098317468624229
HG00705	HG00705	0.19525743417848246
HG00707	HG00707	0.4274839382838593
HG00708	HG00708	0.6224061667945189
HG00717	HG00717	0.7119817378002979
HG00728	HG00728	0.317086350189814
HG00729	HG00729	0.2685305967288036
HG00731	HG00731	0.7890530976352499
HG00732	HG00732	0.5299754225422876
HG00734	HG00734	0.47708300344056254
HG00736	HG00736	0.5271915971712234
HG00737	HG00737	0.4793423843619678
HG00739	HG00739	0.4666678203026048
HG00740	HG00740	0.19567321330687687
HG00742	HG00742	0.4241567062706272
HG00743	HG00743	0.6795541162899276
HG00759	HG00759	0.27915625564236307
HG00766	HG00766	0.35425121284254285
HG00844	HG00844	0.024192437129268225
HG00851	HG00851	0.1604945872627209
HG00864	HG00864	0.35368258987492374
HG00867	HG00867	0.29035976365919147
HG00879	HG00879	0.15896870714511638
HG00881	HG00881	0.1611441225858943
HG00956	HG00956	0.6207982779079738
HG00978	HG00978	0.20421918828020916
HG00982	HG00982	0.23176016282710482
HG01028	HG01028	0.42579069611974957
HG01029	HG01029	0.18456141842354581
