FID	IID	Phenotype_1
HG00096	HG00096	0.40059371484492756
HG00097	HG00097	0.44438657148622396
HG00099	HG00099	0.2688909318974915
HG00100	HG00100	0.4296675805916598
HG00101	HG00101	0.49527557656958177
HG00102	HG00102	0.3373096559661118
HG00103	HG00103	0.38655413069811273
HG00105	HG00105	0.34793073358143545
HG00106	HG00106	0.3467939510680717
HG00107	HG00107	0.5694813571143886
HG00108	HG00108	0.4203359238657866
HG00109	HG00109	0.4595873989639379
HG00110	HG00110	0.43911745579623623
HG00111	HG00111	0.2995617727755762
HG00112	HG00112	0.2675357272183329
HG00113	HG00113	0.5322255743000847
HG00114	HG00114	0.5367480146660533
HG00115	HG00115	0.31949121890026844
HG00116	HG00116	0.3293064858552588
HG00117	HG00117	0.28773996957395587
HG00118	HG00118	0.3737836803352977
HG00119	HG00119	0.3059412698513225
HG00120	HG00120	0.34277441322964936
HG00121	HG00121	0.48172575905895104
HG00122	HG00122	0.3875530886121327
HG00123	HG00123	0.37664171854263256
HG00125	HG00125	0.5485914252990013
HG00126	HG00126	0.4999480134937064
HG00127	HG00127	0.2583679305255038
HG00128	HG00128	0.4581633268403773
HG00129	HG00129	0.3546216665601932
HG00130	HG00130	0.39432159992529836
HG00131	HG00131	0.3565338266947565
HG00132	HG00132	0.4276646646431323
HG00133	HG00133	0.38702202021260096
HG00136	HG00136	0.3979575556992995
HG00137	HG00137	0.3513427856580954
HG00138	HG00138	0.56069272560271
HG00139	HG00139	0.5491969474362219
HG00140	HG00140	0.49690129737852873
HG00141	HG00141	0.4557005009773937
HG00142	HG00142	0.45394187265227426
HG00143	HG00143	0.3799707844869761
HG00145	HG00145	0.509523536848024
HG00146	HG00146	0.18624974684485612
HG00148	HG00148	0.40021239160142635
HG00149	HG00149	0.44926370294785123
HG00150	HG00150	0.3591452566346589
HG00151	HG00151	0.28532778703522704
HG00154	HG00154	0.4412813246397611
HG00155	HG00155	0.3642890501731545
HG00157	HG00157	0.21813752338996492
HG00158	HG00158	0.33962179194703135
HG00159	HG00159	0.2762945650589632
HG00160	HG00160	0.4410163018834045
HG00171	HG00171	0.3035718541052334
HG00173	HG00173	0.5098984741596286
HG00174	HG00174	0.4058387755511451
HG00176	HG00176	0.47273473946024014
HG00177	HG00177	0.40848879733666715
HG00178	HG00178	0.34140635146040516
HG00179	HG00179	0.49634585834200384
HG00180	HG00180	0.41295262990084863
HG00181	HG00181	0.3397496547033689
HG00182	HG00182	0.38812503939346327
HG00183	HG00183	0.2967480011927651
HG00185	HG00185	0.3700475988748951
HG00186	HG00186	0.3802876289607239
HG00187	HG00187	0.5400372625108733
HG00188	HG00188	0.4984271409601803
HG00189	HG00189	0.3214871150733643
HG00190	HG00190	0.37651743310522756
HG00231	HG00231	0.4481090140421027
HG00232	HG00232	0.37314362056283035
HG00233	HG00233	0.37758688026234843
HG00234	HG00234	0.4619150100016363
HG00235	HG00235	0.4146932756587528
HG00236	HG00236	0.4308002822508274
HG00237	HG00237	0.26275389868912175
HG00238	HG00238	0.41670673010516546
HG00239	HG00239	0.41805760915267687
HG00240	HG00240	0.5060249108025805
HG00242	HG00242	0.32992460567352716
HG00243	HG00243	0.2945970116418442
HG00244	HG00244	0.49586853136171594
HG00245	HG00245	0.33660541696703034
HG00246	HG00246	0.3728258382515201
HG00250	HG00250	0.12536164895776528
HG00251	HG00251	0.562423814349103
HG00252	HG00252	0.5110672904729151
HG00253	HG00253	0.396930347714951
HG00254	HG00254	0.3585471155340684
HG00255	HG00255	0.35225156324329604
HG00256	HG00256	0.392218816249819
HG00257	HG00257	0.5588641004907773
HG00258	HG00258	0.33850632899102706
HG00259	HG00259	0.24446064597103104
HG00260	HG00260	0.338377532291262
HG00261	HG00261	0.374331370596289
HG00262	HG00262	0.5230073557800506
HG00263	HG00263	0.3139580272878201
HG00264	HG00264	0.327322602737156
HG00265	HG00265	0.41899380056992835
HG00266	HG00266	0.5066032501031008
HG00267	HG00267	0.5071443754640164
HG00268	HG00268	0.4205582416600945
HG00269	HG00269	0.3994098098669043
HG00271	HG00271	0.38183292932451895
HG00272	HG00272	0.31076639920603716
HG00273	HG00273	0.26807092392517556
HG00274	HG00274	0.3809426146399332
HG00275	HG00275	0.38278488309335906
HG00276	HG00276	0.307614932023645
HG00277	HG00277	0.40265578659577383
HG00278	HG00278	0.41863209143156194
HG00280	HG00280	0.44156960352195873
HG00281	HG00281	0.4640050350266784
HG00282	HG00282	0.3352460725308751
HG00284	HG00284	0.423002470835354
HG00285	HG00285	0.31389644922758414
HG00288	HG00288	0.4011285280400709
HG00290	HG00290	0.5079995599592542
HG00304	HG00304	0.2409681771738458
HG00306	HG00306	0.3650858332767848
HG00308	HG00308	0.30557951623324087
HG00309	HG00309	0.13607051172190104
HG00310	HG00310	0.35858458063124693
HG00311	HG00311	0.3454812308762367
HG00313	HG00313	0.44676283482306706
HG00315	HG00315	0.36586516564336596
HG00318	HG00318	0.42177593951031256
HG00319	HG00319	0.45282979907145227
HG00320	HG00320	0.39092684150212476
HG00321	HG00321	0.365301942793164
HG00323	HG00323	0.3700193235715346
HG00324	HG00324	0.2983654219446907
HG00325	HG00325	0.2841146581903473
HG00326	HG00326	0.49988936591128774
HG00327	HG00327	0.4290309671088738
HG00328	HG00328	0.5307349582104444
HG00329	HG00329	0.5456608085365235
HG00330	HG00330	0.4476882313298176
HG00331	HG00331	0.28805949060801084
HG00332	HG00332	0.3716901669871347
HG00334	HG00334	0.4762088075910766
HG00335	HG00335	0.36557589789804784
HG00336	HG00336	0.4965866050816263
HG00337	HG00337	0.40456573483039576
HG00338	HG00338	0.4331855319287818
HG00339	HG00339	0.4324098118149889
HG00341	HG00341	0.3952164575297674
HG00342	HG00342	0.32729757860591563
HG00343	HG00343	0.30051653602063716
HG00344	HG00344	0.36406085126399285
HG00345	HG00345	0.5717085763107498
HG00346	HG00346	0.3522486168123208
HG00349	HG00349	0.39130855289160665
HG00350	HG00350	0.3918999090958818
HG00351	HG00351	0.282214616407741
HG00353	HG00353	0.4078528909229998
HG00355	HG00355	0.2521636061891017
HG00356	HG00356	0.5372464468801528
HG00357	HG00357	0.47285313816436086
HG00358	HG00358	0.3820749819173188
HG00360	HG00360	0.46161782082578234
HG00361	HG00361	0.5216112856490799
HG00362	HG00362	0.1727375071856384
HG00364	HG00364	0.35333592540356434
HG00365	HG00365	0.2695313641223111
HG00366	HG00366	0.35752617520332297
HG00367	HG00367	0.34514358229506215
HG00368	HG00368	0.3611742502240174
HG00369	HG00369	0.4684634350858816
HG00371	HG00371	0.49318279437992857
HG00372	HG00372	0.33316310058275844
HG00373	HG00373	0.4963511345561566
HG00375	HG00375	0.5471821833129025
HG00376	HG00376	0.22175368358569428
HG00378	HG00378	0.38513614220166154
HG00379	HG00379	0.4129008460557299
HG00380	HG00380	0.18786860978982095
HG00381	HG00381	0.4697491523148514
HG00382	HG00382	0.5613769797250134
HG00383	HG00383	0.38220193460486407
HG00384	HG00384	0.5447231587000136
HG00403	HG00403	0.39184159614258246
HG00404	HG00404	0.6684473248679778
HG00406	HG00406	0.5163727289356178
HG00407	HG00407	0.6581301040210727
HG00409	HG00409	0.31967662876383657
HG00410	HG00410	0.5763007644284107
HG00419	HG00419	0.6164961800918465
HG00421	HG00421	0.5376521448945354
HG00422	HG00422	0.6023305873976001
HG00428	HG00428	0.42745746840418947
HG00436	HG00436	0.6619400288078864
HG00437	HG00437	0.388490872411082
HG00442	HG00442	0.5579267491497758
HG00443	HG00443	0.3524729449316718
