FID	IID	Phenotype_1
HG00096	HG00096	0.7536480853131926
HG00097	HG00097	0.45398157426863334
HG00099	HG00099	0.44279491885061184
HG00100	HG00100	0.4008740786679704
HG00101	HG00101	0.8110806704268877
HG00102	HG00102	0.3936650902703945
HG00103	HG00103	0.5549076079199465
HG00105	HG00105	0.5281837965245971
HG00106	HG00106	0.5567040103920307
HG00107	HG00107	0.5417439199547839
HG00108	HG00108	0.6882913282241627
HG00109	HG00109	0.8597437916244689
HG00110	HG00110	0.4465975840416565
HG00111	HG00111	0.6752680281994475
HG00112	HG00112	0.6168796174858899
HG00113	HG00113	0.7616244877871985
HG00114	HG00114	0.5000323068075169
HG00115	HG00115	0.6723944623544382
HG00116	HG00116	0.5947706259298049
HG00117	HG00117	0.6975783209280038
HG00118	HG00118	0.7223629733939266
HG00119	HG00119	0.5278807878722054
HG00120	HG00120	0.5289787164116764
HG00121	HG00121	0.3148444542324416
HG00122	HG00122	0.6089515217712187
HG00123	HG00123	0.7472283833277416
HG00125	HG00125	0.7492450885662989
HG00126	HG00126	0.7837664149317207
HG00127	HG00127	0.6671010429507854
HG00128	HG00128	0.4255578907279993
HG00129	HG00129	0.6309940989603147
HG00130	HG00130	0.52323253286649
HG00131	HG00131	0.6311469161813058
HG00132	HG00132	0.47133308141332547
HG00133	HG00133	0.6386713522496015
HG00136	HG00136	0.5635067127698057
HG00137	HG00137	0.582274230982331
HG00138	HG00138	0.7683344206975062
HG00139	HG00139	0.5153329967107458
HG00140	HG00140	0.3222246537989677
HG00141	HG00141	0.6432342208970933
HG00142	HG00142	0.4861138538042001
HG00143	HG00143	0.685023640213926
HG00145	HG00145	0.6493625821005059
HG00146	HG00146	0.5554929922191143
HG00148	HG00148	0.36624158902780274
HG00149	HG00149	0.5386628689964911
HG00150	HG00150	0.6059740273007265
HG00151	HG00151	0.809374667613761
HG00154	HG00154	0.6574553955127209
HG00155	HG00155	0.4069453514021155
HG00157	HG00157	0.7194210056973471
HG00158	HG00158	0.37478828127088076
HG00159	HG00159	0.630309439210558
HG00160	HG00160	0.6558056419135723
HG00171	HG00171	0.5122978528666186
HG00173	HG00173	0.6120827657616523
HG00174	HG00174	0.6823952762430459
HG00176	HG00176	0.701947097011037
HG00177	HG00177	0.565443931837516
HG00178	HG00178	0.5237431303729863
HG00179	HG00179	0.6123065098824495
HG00180	HG00180	0.6010119130582848
HG00181	HG00181	0.5053430975588072
HG00182	HG00182	0.4013630633709806
HG00183	HG00183	0.6318266950698546
HG00185	HG00185	0.43416057644247835
HG00186	HG00186	0.5997102635964803
HG00187	HG00187	0.5461955377739991
HG00188	HG00188	0.3094194683852497
HG00189	HG00189	0.5412285594166936
HG00190	HG00190	0.7396237659008982
HG00231	HG00231	0.8607849952831131
HG00232	HG00232	0.7872630460801968
HG00233	HG00233	0.8224281784505584
HG00234	HG00234	0.41076249759043554
HG00235	HG00235	0.5349169418922236
HG00236	HG00236	0.5276440949026354
HG00237	HG00237	0.6876812149103078
HG00238	HG00238	0.463558647524368
HG00239	HG00239	0.7059047762752588
HG00240	HG00240	0.7839196088469546
HG00242	HG00242	0.6616057338442528
HG00243	HG00243	0.38420143078904456
HG00244	HG00244	0.5265068901965042
HG00245	HG00245	0.37814994333203944
HG00246	HG00246	0.3674843213648319
HG00250	HG00250	0.46934340326653345
HG00251	HG00251	0.6542274985480426
HG00252	HG00252	0.5755226664369084
HG00253	HG00253	0.4790864531918087
HG00254	HG00254	0.574636778696731
HG00255	HG00255	0.6289892413968575
HG00256	HG00256	0.6889583772035525
HG00257	HG00257	0.6908833365185207
HG00258	HG00258	0.717018157337756
HG00259	HG00259	0.5437264948686269
HG00260	HG00260	0.7543840095330244
HG00261	HG00261	0.5164597549005006
HG00262	HG00262	0.6446115618828007
HG00263	HG00263	0.6726187787477893
HG00264	HG00264	0.40737228569955297
HG00265	HG00265	0.48307497218220974
HG00266	HG00266	0.6708850447974547
HG00267	HG00267	0.8509413065667372
HG00268	HG00268	0.44239108772649993
HG00269	HG00269	0.6016381057669044
HG00271	HG00271	0.6980577753165693
HG00272	HG00272	0.5166026435004087
HG00273	HG00273	0.5841380556208985
HG00274	HG00274	0.6908692562746303
HG00275	HG00275	0.5046856773477651
HG00276	HG00276	0.5482861129478084
HG00277	HG00277	0.6652447195939399
HG00278	HG00278	0.3259209464461599
HG00280	HG00280	0.6145184048246563
HG00281	HG00281	0.6239617776793357
HG00282	HG00282	0.2727792487169908
HG00284	HG00284	0.626949782313365
HG00285	HG00285	0.5367318542713351
HG00288	HG00288	0.5724237682746375
HG00290	HG00290	0.5646706100206512
HG00304	HG00304	0.32025720463186097
HG00306	HG00306	0.5316143430264609
HG00308	HG00308	0.476426858699289
HG00309	HG00309	0.6749792843329309
HG00310	HG00310	0.702192979122136
HG00311	HG00311	0.8839709914466763
HG00313	HG00313	0.6139363910883884
HG00315	HG00315	0.7821932596849988
HG00318	HG00318	0.5468970754071665
HG00319	HG00319	0.6704026975585679
HG00320	HG00320	0.5335988478804039
HG00321	HG00321	0.6654468150334626
HG00323	HG00323	0.6762056505471947
HG00324	HG00324	0.4933900409175947
HG00325	HG00325	0.516279308203045
HG00326	HG00326	0.6983292161264398
HG00327	HG00327	0.63136843435153
HG00328	HG00328	0.7917673095505876
HG00329	HG00329	0.7568551380390219
HG00330	HG00330	0.39677319345176626
HG00331	HG00331	0.3821660903281977
HG00332	HG00332	0.6059415162599094
HG00334	HG00334	0.6436257302709246
HG00335	HG00335	0.5626382095687207
HG00336	HG00336	0.5671304837729718
HG00337	HG00337	0.37856561422200163
HG00338	HG00338	0.654065025740334
HG00339	HG00339	0.5365632222006789
HG00341	HG00341	0.7211268123669532
HG00342	HG00342	0.5285259573205843
HG00343	HG00343	0.5567516004502459
HG00344	HG00344	0.5322174807099698
HG00345	HG00345	0.4568813299894082
HG00346	HG00346	0.4624018805769587
HG00349	HG00349	0.5014847410867542
HG00350	HG00350	0.5433807877901137
HG00351	HG00351	0.4565388607960341
HG00353	HG00353	0.706788235919756
HG00355	HG00355	0.5351920532776748
HG00356	HG00356	0.3855919131499073
HG00357	HG00357	0.6195530091094549
HG00358	HG00358	0.40817981792128444
HG00360	HG00360	0.7214913343944803
HG00361	HG00361	0.5870662801606745
HG00362	HG00362	0.5299972888441778
HG00364	HG00364	0.5822833796243447
HG00365	HG00365	0.5426677146001302
HG00366	HG00366	0.6286174213978909
HG00367	HG00367	0.5941624501907605
HG00368	HG00368	0.28257653089428186
HG00369	HG00369	0.5474129728497347
HG00371	HG00371	0.635658259221338
HG00372	HG00372	0.5383101549444402
HG00373	HG00373	0.6639157087068859
HG00375	HG00375	0.7710998039985576
HG00376	HG00376	0.6396716346226691
HG00378	HG00378	0.5643214696144743
HG00379	HG00379	0.600198820193804
HG00380	HG00380	0.763116277620627
HG00381	HG00381	0.33892174836366346
HG00382	HG00382	0.784360899804258
HG00383	HG00383	0.8140462562229399
HG00384	HG00384	0.6500275693867098
HG00403	HG00403	0.695367801870059
HG00404	HG00404	0.86761274543365
HG00406	HG00406	0.6731253171708528
HG00407	HG00407	0.5527627055739831
HG00409	HG00409	0.7415495137815067
HG00410	HG00410	0.7723907695014386
HG00419	HG00419	0.5826897906379472
HG00421	HG00421	0.8912457493384283
HG00422	HG00422	0.5530345600554073
HG00428	HG00428	0.8107242007009183
HG00436	HG00436	0.7110863191887238
HG00437	HG00437	0.6843778696457413
HG00442	HG00442	0.7534491343752318
HG00443	HG00443	0.7549063473827278
HG00445	HG00445	0.7820967549550651
HG00446	HG00446	0.7935471375499472
HG00448	HG00448	0.6708384732698534
HG00449	HG00449	0.6959925847173295
HG00451	HG00451	0.8356077572147301
HG00452	HG00452	0.7431052443732827
HG00457	HG00457	0.7098741910069499
HG00458	HG00458	0.7935666681839565
HG00463	HG00463	0.8075970022992358
HG00464	HG00464	0.8017706520099207
HG00472	HG00472	0.6571680149874202
HG00473	HG00473	0.6681949305298411
HG00475	HG00475	0.7545968777311715
HG00476	HG00476	0.7742462818524034
HG00478	HG00478	0.6198608302484568
HG00479	HG00479	0.6738239154675946
HG00500	HG00500	0.6892189743620385
HG00513	HG00513	0.7720264660482946
HG00524	HG00524	0.6396459140785419
HG00525	HG00525	0.8863149289025483
HG00530	HG00530	0.7093628117303088
HG00531	HG00531	0.7351473557579352
HG00533	HG00533	0.8451294394607104
HG00534	HG00534	0.7549221927990653
HG00536	HG00536	0.7460760971441915
HG00537	HG00537	0.6897631990858621
HG00542	HG00542	0.744409300394057
HG00543	HG00543	0.6298066856343624
HG00551	HG00551	0.5551267307664648
HG00553	HG00553	0.7045231787364317
HG00554	HG00554	0.637753955453541
HG00556	HG00556	0.7724570906553908
HG00557	HG00557	0.7433355927466248
HG00559	HG00559	0.5836404805860764
HG00560	HG00560	0.7663899630882355
HG00565	HG00565	0.6300814775366661
HG00566	HG00566	0.5914675066863451
HG00580	HG00580	0.6577296514993226
HG00581	HG00581	0.6775980174307807
HG00583	HG00583	0.7324156112054094
HG00584	HG00584	0.8258689333793702
HG00589	HG00589	0.5988722147999727
HG00590	HG00590	0.6714532664345346
HG00592	HG00592	0.6788186171388019
HG00593	HG00593	0.7785317276796747
HG00595	HG00595	0.6854038097722231
HG00596	HG00596	0.7323070350349585
HG00598	HG00598	0.7965821775188451
HG00599	HG00599	0.7544896370171174
HG00607	HG00607	0.6737239061681247
HG00608	HG00608	0.6726051303138704
HG00610	HG00610	0.6856832631870685
HG00611	HG00611	0.5607481769803699
HG00613	HG00613	0.6349276593197614
HG00614	HG00614	0.7072326452262269
HG00619	HG00619	0.7416018639189647
HG00620	HG00620	0.67899056849973
HG00622	HG00622	0.6800145584263455
HG00623	HG00623	0.732115993637403
HG00625	HG00625	0.7655139054304024
HG00626	HG00626	0.6123689186595399
HG00628	HG00628	0.47576136274297726
HG00629	HG00629	0.7827901982415466
HG00631	HG00631	0.7092032427793254
HG00632	HG00632	0.6302932453662364
HG00634	HG00634	0.71189715898407
HG00637	HG00637	0.5076755202012213
HG00638	HG00638	0.36780649539959137
HG00640	HG00640	0.48599703607314776
HG00641	HG00641	0.5274660427491715
HG00650	HG00650	0.812325462339297
HG00651	HG00651	0.66910341206034
HG00653	HG00653	0.7326451526415937
HG00654	HG00654	0.7808033625090189
HG00656	HG00656	0.7474225216386511
HG00657	HG00657	0.6800200195745688
HG00662	HG00662	0.7460627531787705
HG00663	HG00663	0.7164478437145968
HG00671	HG00671	0.7516770434171
HG00672	HG00672	0.7300303974232535
HG00674	HG00674	0.7130377437360768
HG00675	HG00675	0.5849994702186154
HG00683	HG00683	0.7456043288497297
HG00684	HG00684	0.6954556269437466
HG00689	HG00689	0.5529624818002431
HG00690	HG00690	0.7090312698707697
HG00692	HG00692	0.7338817521243219
HG00693	HG00693	0.6968464141214061
HG00698	HG00698	0.5367315235199376
HG00699	HG00699	0.6538084831020862
HG00701	HG00701	0.6462379134993231
HG00704	HG00704	0.6833016756534817
HG00705	HG00705	0.5378296020725079
HG00707	HG00707	0.7241923048719064
HG00708	HG00708	0.7396641314593565
HG00717	HG00717	0.7424683904731697
HG00728	HG00728	0.7083166562486464
HG00729	HG00729	0.6878028938510263
HG00731	HG00731	0.6286195038872384
HG00732	HG00732	0.7359514758428072
HG00734	HG00734	0.5228346679147069
HG00736	HG00736	0.5629630689406443
HG00737	HG00737	0.600342895830994
HG00739	HG00739	0.7852303202771818
HG00740	HG00740	0.7441608465747495
HG00742	HG00742	0.6484633844651903
HG00743	HG00743	0.6702491534672481
HG00759	HG00759	0.7203104144300132
HG00766	HG00766	0.7349333919723064
HG00844	HG00844	0.7799934878642883
HG00851	HG00851	0.5775726269440964
HG00864	HG00864	0.6638587225761683
HG00867	HG00867	0.615235369110759
HG00879	HG00879	0.7685007100085177
HG00881	HG00881	0.7543887135520945
HG00956	HG00956	0.7247901053300594
HG00978	HG00978	0.7518056774790953
HG00982	HG00982	0.6637017536421783
HG01028	HG01028	0.7379741839567497
HG01029	HG01029	0.7065524154769367
HG01031	HG01031	0.7104624476693907
HG01046	HG01046	0.6956994562795056
HG01047	HG01047	0.4752362805249164
HG01048	HG01048	0.7763566039208145
HG01049	HG01049	0.5984733799365973
HG01051	HG01051	0.526766178035868
HG01052	HG01052	0.7096850595850108
HG01054	HG01054	0.5996306829972929
HG01055	HG01055	0.6053283383678376
HG01058	HG01058	0.49969850590278403
HG01060	HG01060	0.6830162209607673
HG01061	HG01061	0.6791959051588012
HG01063	HG01063	0.17095232880842307
HG01064	HG01064	0.6772594272581538
HG01066	HG01066	0.7104397707323042
HG01067	HG01067	0.7038078079039938
HG01069	HG01069	0.5709362667535778
HG01070	HG01070	0.5497244917759206
HG01072	HG01072	0.5476360222529255
HG01073	HG01073	0.7229376955251822
HG01075	HG01075	0.5790591961052781
HG01077	HG01077	0.5772698467963091
HG01079	HG01079	0.7395855558931338
HG01080	HG01080	0.635092571096532
HG01082	HG01082	0.724326973787144
HG01083	HG01083	0.7244920844487124
HG01085	HG01085	0.6046457439501352
HG01086	HG01086	0.45690096205659736
HG01088	HG01088	0.6656177745402462
HG01089	HG01089	0.6586012763978328
HG01092	HG01092	0.5533556391390446
HG01094	HG01094	0.7272538585010594
HG01095	HG01095	0.6595634083866633
HG01097	HG01097	0.3920429110469235
HG01098	HG01098	0.5269474673026188
HG01101	HG01101	0.37802896750430315
HG01102	HG01102	0.7166393203000544
HG01104	HG01104	0.7093878748831063
HG01105	HG01105	0.8056364511505127
HG01107	HG01107	0.648019034553985
HG01108	HG01108	0.5516537435394457
HG01110	HG01110	0.3677496665512717
HG01111	HG01111	0.7272768595410773
HG01112	HG01112	0.8243127893858913
HG01113	HG01113	0.836115490099903
HG01119	HG01119	0.6093592834094864
HG01121	HG01121	0.5923475376762226
HG01122	HG01122	0.7035119915324692
HG01124	HG01124	0.7400242295755851
HG01125	HG01125	0.656355132763798
HG01130	HG01130	0.4519428757692738
HG01131	HG01131	0.5324338998530995
HG01133	HG01133	0.33704860021329397
HG01134	HG01134	0.7716120113916052
HG01136	HG01136	0.6301641726281588
HG01137	HG01137	0.6202497739816629
HG01139	HG01139	0.6343910502104236
HG01140	HG01140	0.6255540124122498
HG01142	HG01142	0.6546848932957382
HG01148	HG01148	0.7812551046172667
HG01149	HG01149	0.6464335719177013
HG01161	HG01161	0.598361075656748
HG01162	HG01162	0.6504204150909477
HG01164	HG01164	0.44270812947170063
HG01167	HG01167	0.7032761665500703
HG01168	HG01168	0.489609618195169
HG01170	HG01170	0.7503217286335794
HG01171	HG01171	0.6546413627789003
HG01173	HG01173	0.620223293024157
HG01174	HG01174	0.5371887331101076
HG01176	HG01176	0.6595577751768722
HG01177	HG01177	0.6373737887810692
HG01182	HG01182	0.5710432078385317
HG01183	HG01183	0.5088621922538467
HG01187	HG01187	0.6023142979354962
HG01188	HG01188	0.599931560233454
HG01190	HG01190	0.5441164497142689
HG01191	HG01191	0.5620456112010676
HG01197	HG01197	0.5492151077361077
HG01198	HG01198	0.5872048501055668
HG01200	HG01200	0.5875990585587526
HG01204	HG01204	0.3559328856445183
HG01205	HG01205	0.5859373280287441
HG01241	HG01241	0.6769144828314873
HG01242	HG01242	0.5742617970009142
HG01247	HG01247	0.5565013844977288
HG01248	HG01248	0.5199264113675723
HG01250	HG01250	0.5091329057332006
HG01251	HG01251	0.5395765069051688
HG01253	HG01253	0.6617110373472366
HG01254	HG01254	0.7131803231289505
HG01256	HG01256	0.5517903262598729
HG01257	HG01257	0.6857962742687106
HG01259	HG01259	0.5552920177338183
HG01260	HG01260	0.6381658137793237
HG01269	HG01269	0.5260851633180486
HG01271	HG01271	0.599562276940796
HG01272	HG01272	0.7181850235178748
HG01275	HG01275	0.3626202167769037
HG01277	HG01277	0.47698783255105404
HG01280	HG01280	0.779452524022299
HG01281	HG01281	0.7097365785776687
HG01284	HG01284	0.6988439259593194
HG01286	HG01286	0.7466478527507687
HG01302	HG01302	0.7345169905713526
HG01303	HG01303	0.6484264004620464
HG01305	HG01305	0.5929471628024013
HG01308	HG01308	0.667739503926918
HG01311	HG01311	0.4897134911599583
HG01312	HG01312	0.6000430633509048
HG01323	HG01323	0.4812907992375471
HG01325	HG01325	0.7881880081556719
HG01326	HG01326	0.4585908909154977
HG01334	HG01334	0.41616799637877794
HG01341	HG01341	0.6371793304404022
HG01342	HG01342	0.5776562701032891
HG01344	HG01344	0.6662959446766352
HG01345	HG01345	0.603954710167168
HG01348	HG01348	0.6704316114525419
HG01350	HG01350	0.516823935478337
HG01351	HG01351	0.6516947923776764
HG01353	HG01353	0.8296323571467458
HG01354	HG01354	0.7364584792869399
HG01356	HG01356	0.7208510112857491
HG01357	HG01357	0.6746614902461134
