FID	IID	Phenotype_1
HG00096	HG00096	0.6997333772780806
HG00097	HG00097	0.6757695292801656
HG00099	HG00099	0.4959376842548157
HG00100	HG00100	0.2670441095535658
HG00101	HG00101	0.38039221688910757
HG00102	HG00102	0.563016978490397
HG00103	HG00103	0.5287421753815766
HG00105	HG00105	0.5387913963868298
HG00106	HG00106	0.3027072637596927
HG00107	HG00107	0.4832060449819763
HG00108	HG00108	0.5325269682490319
HG00109	HG00109	0.5462294758804457
HG00110	HG00110	0.491668085212107
HG00111	HG00111	0.5347242338169381
HG00112	HG00112	0.5260178229891429
HG00113	HG00113	0.4206594207395793
HG00114	HG00114	0.5208468277440056
HG00115	HG00115	0.13591706161721634
HG00116	HG00116	0.09414528330469502
HG00117	HG00117	0.5108469773410318
HG00118	HG00118	0.6279620305702421
HG00119	HG00119	0.5871726468836662
HG00120	HG00120	0.16970182165270298
HG00121	HG00121	0.5301755854090936
HG00122	HG00122	0.24449555515700042
HG00123	HG00123	0.28262402312460055
HG00125	HG00125	0.18079609150520048
HG00126	HG00126	0.40323910916497613
HG00127	HG00127	0.38879510763113073
HG00128	HG00128	0.6115196885486828
HG00129	HG00129	0.4540662812293395
HG00130	HG00130	0.36935391215626834
HG00131	HG00131	0.20230935529294297
HG00132	HG00132	0.36066989854367926
HG00133	HG00133	0.417049435644884
HG00136	HG00136	0.6640188414238456
HG00137	HG00137	0.564204056103494
HG00138	HG00138	0.3430697449392649
HG00139	HG00139	0.5821439275511956
HG00140	HG00140	0.24068055613488823
HG00141	HG00141	0.37865416183523154
HG00142	HG00142	0.6171904296139322
HG00143	HG00143	0.5317615526858853
HG00145	HG00145	0.2781825366406248
HG00146	HG00146	0.565091667681307
HG00148	HG00148	0.6806002538283129
HG00149	HG00149	0.4155781645456192
HG00150	HG00150	0.4693444430865159
HG00151	HG00151	0.6876098065257779
HG00154	HG00154	0.5081595297539713
HG00155	HG00155	0.45572738976625476
HG00157	HG00157	0.3305022516516991
HG00158	HG00158	0.1430013582003639
HG00159	HG00159	0.4471420073284974
HG00160	HG00160	0.3418325787737478
HG00171	HG00171	0.3546473467772683
HG00173	HG00173	0.7339048123808756
HG00174	HG00174	0.5243161851550737
HG00176	HG00176	0.4055877437918531
HG00177	HG00177	0.4929809307211276
HG00178	HG00178	0.706052188541845
HG00179	HG00179	0.2819611658406209
HG00180	HG00180	0.512878580962431
HG00181	HG00181	0.22990013543468915
HG00182	HG00182	0.6584937452694909
HG00183	HG00183	0.2430240329848925
HG00185	HG00185	0.5953275521391026
HG00186	HG00186	0.15216573291208274
HG00187	HG00187	0.5427022376699019
HG00188	HG00188	0.5687149210820751
HG00189	HG00189	0.5813487500746284
HG00190	HG00190	0.5408143699334467
HG00231	HG00231	0.6124270505270912
HG00232	HG00232	0.6010252766219892
HG00233	HG00233	0.40065207549557275
HG00234	HG00234	0.2736620770770329
HG00235	HG00235	0.40233697073205893
HG00236	HG00236	0.4119103380897513
HG00237	HG00237	0.2261229850434305
HG00238	HG00238	0.4881396724547377
