FID	IID	Phenotype_1
HG00096	HG00096	0.8818616176449199
HG00097	HG00097	0.8490686249619238
HG00099	HG00099	0.45570755721667805
HG00100	HG00100	0.2618916424848967
HG00101	HG00101	0.4561157990880245
HG00102	HG00102	0.613875719090265
HG00103	HG00103	0.3814551620210437
HG00105	HG00105	0.4199141960731452
HG00106	HG00106	0.37051800905107907
HG00107	HG00107	0.6368724559647763
HG00108	HG00108	0.2702485432654421
HG00109	HG00109	0.5499745286209556
HG00110	HG00110	0.4686079776054731
HG00111	HG00111	0.3572922115320974
HG00112	HG00112	0.48096044705261914
HG00113	HG00113	0.6239665528103179
HG00114	HG00114	0.5024934451844861
HG00115	HG00115	0.39163370429234573
HG00116	HG00116	0.34511322096521285
HG00117	HG00117	0.2872479473315113
HG00118	HG00118	0.6868936129254276
HG00119	HG00119	0.5292919214071173
HG00120	HG00120	0.6256826058584664
HG00121	HG00121	0.5628557957574218
HG00122	HG00122	0.3673119383487759
HG00123	HG00123	0.32000819744218684
HG00125	HG00125	0.5135031280487422
HG00126	HG00126	0.18502434357298556
HG00127	HG00127	0.4429987979545087
HG00128	HG00128	0.5748845960558856
HG00129	HG00129	0.43671170322850766
HG00130	HG00130	0.2772547884873739
HG00131	HG00131	0.20366295595292838
HG00132	HG00132	0.4463893791952228
HG00133	HG00133	0.5690040176744505
HG00136	HG00136	0.6644852557187511
HG00137	HG00137	0.39973320358045544
HG00138	HG00138	0.22990845984462208
HG00139	HG00139	0.5215652986034038
HG00140	HG00140	0.44448899131554565
HG00141	HG00141	0.4010645342949644
HG00142	HG00142	0.4666197921469138
HG00143	HG00143	0.5456163759165656
HG00145	HG00145	0.34566761939988594
HG00146	HG00146	0.5656273559552387
HG00148	HG00148	0.7747750270710057
HG00149	HG00149	0.40541227652112627
HG00150	HG00150	0.5736403791810348
HG00151	HG00151	0.45573039110909075
HG00154	HG00154	0.5636140940793904
HG00155	HG00155	0.46602807334216295
HG00157	HG00157	0.28724274101381236
HG00158	HG00158	0.27516593044939397
HG00159	HG00159	0.5266854380176392
HG00160	HG00160	0.3448282252656115
HG00171	HG00171	0.2441521497963592
HG00173	HG00173	0.5470660574506634
HG00174	HG00174	0.36954605369787324
HG00176	HG00176	0.4957709739949857
HG00177	HG00177	0.4884044989092367
HG00178	HG00178	0.48755839559177894
HG00179	HG00179	0.2434140553343838
HG00180	HG00180	0.5041223185565415
HG00181	HG00181	0.44862153223747986
HG00182	HG00182	0.4073680613194609
HG00183	HG00183	0.4188747003911645
HG00185	HG00185	0.6328224166981347
HG00186	HG00186	0.3362472013422935
HG00187	HG00187	0.5850144867717075
HG00188	HG00188	0.4053136682538785
HG00189	HG00189	0.5632035913213267
HG00190	HG00190	0.5958689706733596
HG00231	HG00231	0.506573639647883
HG00232	HG00232	0.3931312343297464
HG00233	HG00233	0.5910735724863528
HG00234	HG00234	0.6905998354991967
HG00235	HG00235	0.7486581502963993
HG00236	HG00236	0.49462925169676475
HG00237	HG00237	0.35194772504884975
HG00238	HG00238	0.44508072421765194
HG00239	HG00239	0.1718683218049127
HG00240	HG00240	0.43166999075783
HG00242	HG00242	0.6936866013804415
HG00243	HG00243	0.43716849155387894
HG00244	HG00244	0.2915155673903453
HG00245	HG00245	0.4777087622811475
HG00246	HG00246	0.5748560239490443
HG00250	HG00250	0.775200845367102
HG00251	HG00251	0.603153451665633
HG00252	HG00252	0.4355782268759556
HG00253	HG00253	0.6761604578224796
HG00254	HG00254	0.4016297947210384
HG00255	HG00255	0.5774375455016053
HG00256	HG00256	0.5372664253185266
HG00257	HG00257	0.3955822907847494
HG00258	HG00258	0.5595993640687579
HG00259	HG00259	0.3289730253238778
HG00260	HG00260	0.3379662863383421
HG00261	HG00261	0.5197803452516996
HG00262	HG00262	0.47028980072872645
HG00263	HG00263	0.3724317214084979
HG00264	HG00264	0.5199416044988269
HG00265	HG00265	0.46757406988576894
HG00266	HG00266	0.5948827866019079
HG00267	HG00267	0.2708080340833863
HG00268	HG00268	0.44395078211724337
HG00269	HG00269	0.6294585165546182
HG00271	HG00271	0.220149780268834
HG00272	HG00272	0.4079919027409174
HG00273	HG00273	0.47157741748773857
HG00274	HG00274	0.5412675290842647
HG00275	HG00275	0.5435431484064183
HG00276	HG00276	0.4627217052885565
HG00277	HG00277	0.4139166170204352
HG00278	HG00278	0.58114802562418
HG00280	HG00280	0.5093580304084853
HG00281	HG00281	0.33559600363706954
HG00282	HG00282	0.5672283480634085
HG00284	HG00284	0.3163049268180651
HG00285	HG00285	0.5439794112627191
HG00288	HG00288	0.6156407025729218
HG00290	HG00290	0.3919859785118387
HG00304	HG00304	0.4208746660847581
HG00306	HG00306	0.4061677105359759
HG00308	HG00308	0.3886450788527978
HG00309	HG00309	0.3317165183098665
HG00310	HG00310	0.5041850458920302
HG00311	HG00311	0.5122776287764257
HG00313	HG00313	0.4903140884520119
HG00315	HG00315	0.3876257885956295
HG00318	HG00318	0.5930635895364716
HG00319	HG00319	0.48092470836143547
HG00320	HG00320	0.43360388682267176
HG00321	HG00321	0.2963448905025279
HG00323	HG00323	0.4625521477714449
HG00324	HG00324	0.4379865565177297
HG00325	HG00325	0.48966271475792583
HG00326	HG00326	0.40555347166177
HG00327	HG00327	0.3756437690433441
HG00328	HG00328	0.3001065214881936
HG00329	HG00329	0.44831807179806316
HG00330	HG00330	0.662620521170758
HG00331	HG00331	0.7718787461243146
HG00332	HG00332	0.5011407170816854
HG00334	HG00334	0.5584223630972602
HG00335	HG00335	0.45760001772912196
HG00336	HG00336	0.28904070941944593
HG00337	HG00337	0.5718452897097636
HG00338	HG00338	0.4887367815768055
HG00339	HG00339	0.6537437822925358
HG00341	HG00341	0.6122229837453418
HG00342	HG00342	0.29981130060974204
HG00343	HG00343	0.42408682476864445
HG00344	HG00344	0.663748574541173
HG00345	HG00345	0.5193031803560267
HG00346	HG00346	0.7123727275928836
HG00349	HG00349	0.5767608113180586
HG00350	HG00350	0.0
HG00351	HG00351	0.4294886853340789
HG00353	HG00353	0.24335147397659346
HG00355	HG00355	0.5485194105889823
HG00356	HG00356	0.4678464004865544
HG00357	HG00357	0.36205042954190436
HG00358	HG00358	0.4622797089201096
HG00360	HG00360	0.7881139794265513
HG00361	HG00361	0.34963903697424303
HG00362	HG00362	0.5374784965160363
HG00364	HG00364	0.7017720652102886
HG00365	HG00365	0.6929513839566214
HG00366	HG00366	0.45519784997777835
HG00367	HG00367	0.3086699644719928
HG00368	HG00368	0.3500970530238411
HG00369	HG00369	0.8529136773476679
HG00371	HG00371	0.2960233665757869
HG00372	HG00372	0.574964190072036
HG00373	HG00373	0.5058485905082375
HG00375	HG00375	0.44318835561597114
HG00376	HG00376	0.5675430700596847
HG00378	HG00378	0.5898455424116098
HG00379	HG00379	0.49977802039004665
HG00380	HG00380	0.45473746555898004
HG00381	HG00381	0.5546082413633009
HG00382	HG00382	0.5913704383473838
HG00383	HG00383	0.407444554857894
HG00384	HG00384	0.3924116040893839
HG00403	HG00403	0.38142288834407223
HG00404	HG00404	0.7640497483198289
HG00406	HG00406	0.427752289830058
HG00407	HG00407	0.5358753975125374
HG00409	HG00409	0.3852396667307551
HG00410	HG00410	0.4599721945719739
HG00419	HG00419	0.42952882306038337
HG00421	HG00421	0.549977571746983
HG00422	HG00422	0.650169739883113
HG00428	HG00428	0.5753518468985052
HG00436	HG00436	0.6163076563441965
HG00437	HG00437	0.624112216910334
HG00442	HG00442	0.40083031131137853
HG00443	HG00443	0.4046909495575856
HG00445	HG00445	0.5920754886113218
HG00446	HG00446	0.4672760047042248
HG00448	HG00448	0.5389040186960224
HG00449	HG00449	0.5208554346930373
HG00451	HG00451	0.5492003378031214
HG00452	HG00452	0.33841802803135357
HG00457	HG00457	0.315999571133469
HG00458	HG00458	0.4240894321967589
HG00463	HG00463	0.2956177602423082
HG00464	HG00464	0.5614039925109332
HG00472	HG00472	0.4602570389894161
HG00473	HG00473	0.4608033816248853
HG00475	HG00475	0.693338392962681
HG00476	HG00476	0.23113353198271835
HG00478	HG00478	0.5254655334796303
HG00479	HG00479	0.6013389866838657
HG00500	HG00500	0.4493285566246178
HG00513	HG00513	0.9068625757015779
HG00524	HG00524	0.4186454754761316
HG00525	HG00525	0.36697047085714485
HG00530	HG00530	0.5581334767342853
HG00531	HG00531	0.42623522236467004
HG00533	HG00533	0.35518201515255526
HG00534	HG00534	0.48868984166784873
HG00536	HG00536	0.5589482976444297
HG00537	HG00537	0.44347407639014513
HG00542	HG00542	0.6071678918901758
HG00543	HG00543	0.574779815434946
HG00551	HG00551	0.6092266003262955
HG00553	HG00553	0.30381118299326754
HG00554	HG00554	0.4088704351541197
HG00556	HG00556	0.23432421973440604
HG00557	HG00557	0.6227779945371283
HG00559	HG00559	0.36893504566899055
HG00560	HG00560	0.452254021873509
HG00565	HG00565	0.33886350836609824
HG00566	HG00566	0.4679755215974528
HG00580	HG00580	0.7625629189591133
HG00581	HG00581	0.3104051576988949
HG00583	HG00583	0.7269814455474983
HG00584	HG00584	0.45447660638386284
HG00589	HG00589	0.6647788038229174
HG00590	HG00590	0.31581453092617173
HG00592	HG00592	0.36636323332538817
HG00593	HG00593	0.691034404828189
HG00595	HG00595	0.5603052845152582
HG00596	HG00596	0.49431118437867994
HG00598	HG00598	0.491056411311206
HG00599	HG00599	0.35626079444068354
HG00607	HG00607	0.3527999710147459
HG00608	HG00608	0.7025441493865227
HG00610	HG00610	0.40628886786241974
HG00611	HG00611	0.5376105986310653
HG00613	HG00613	0.35121064201561225
HG00614	HG00614	0.4291716120262555
HG00619	HG00619	0.517694397891923
HG00620	HG00620	0.329197523420665
HG00622	HG00622	0.5325207646481552
HG00623	HG00623	0.40150820856038383
HG00625	HG00625	0.3684554969591307
HG00626	HG00626	0.49827675010545874
HG00628	HG00628	0.502216559024129
HG00629	HG00629	0.26453353491389164
HG00631	HG00631	0.39198080525062806
HG00632	HG00632	0.2676607465939643
HG00634	HG00634	0.3131654125445753
HG00637	HG00637	0.28036282037350485
HG00638	HG00638	0.3827068360161177
HG00640	HG00640	0.4719071920154736
HG00641	HG00641	0.4468070420328433
HG00650	HG00650	0.4141345565931133
HG00651	HG00651	0.522666364257696
HG00653	HG00653	0.3745411710898749
HG00654	HG00654	0.5434375562996772
HG00656	HG00656	0.3181399446230465
HG00657	HG00657	0.46545813948833026
HG00662	HG00662	0.4573440132807765
HG00663	HG00663	0.30120127096460836
HG00671	HG00671	0.6384909269793909
HG00672	HG00672	0.6564705876480584
HG00674	HG00674	0.5421238432168403
HG00675	HG00675	0.30801894022350557
HG00683	HG00683	0.6957391855284214
HG00684	HG00684	0.2401437208190401
HG00689	HG00689	0.5415772726776237
HG00690	HG00690	0.6594608950852229
HG00692	HG00692	0.5584097826723293
HG00693	HG00693	0.7822284138048903
HG00698	HG00698	0.38811460286657196
HG00699	HG00699	0.5547262119905595
HG00701	HG00701	0.3551484407148235
HG00704	HG00704	0.3286611206435655
HG00705	HG00705	0.504220836747589
HG00707	HG00707	0.5093735794914549
HG00708	HG00708	0.4508280404072793
HG00717	HG00717	0.6727282861310028
HG00728	HG00728	0.3110507174248765
HG00729	HG00729	0.47432943454749593
HG00731	HG00731	0.6610701136163193
HG00732	HG00732	0.4727271766812933
HG00734	HG00734	0.5832969090932361
HG00736	HG00736	0.5995185900525712
HG00737	HG00737	0.3458237798971827
HG00739	HG00739	0.4935048681801104
HG00740	HG00740	0.32341898536692315
HG00742	HG00742	0.5825718656364902
HG00743	HG00743	0.533222359497452
HG00759	HG00759	0.43571742834140836
HG00766	HG00766	0.34722770443798334
HG00844	HG00844	0.2969643808134004
HG00851	HG00851	0.34430881755637205
HG00864	HG00864	0.6388216307222642
HG00867	HG00867	0.5443589225165935
HG00879	HG00879	0.4970377839220039
HG00881	HG00881	0.4241796062722823
HG00956	HG00956	0.4746358625269967
HG00978	HG00978	0.3458507910778533
HG00982	HG00982	0.5479887155581892
HG01028	HG01028	0.25556345972306754
HG01029	HG01029	0.7559108824279092
HG01031	HG01031	0.4050909635870593
HG01046	HG01046	0.3395351740446384
HG01047	HG01047	0.29908115746193187
HG01048	HG01048	0.40346467438286693
HG01049	HG01049	0.46332085600859557
HG01051	HG01051	0.7366822824551305
HG01052	HG01052	0.5164476396411897
